date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,week,weekly_avg_cpu,cpu_rolling_avg_7d,cpu_lag_1,month,quarter
2023-01-02,Southeast Asia,Storage,55,1065,305,106.48,1.15,0,1,68.66666666666667,73.4,66.0,1,1
2023-01-02,Southeast Asia,Container,53,1202,417,106.48,1.15,0,1,68.66666666666667,70.0,55.0,1,1
2023-01-03,East US,VM,93,661,401,97.66,0.98,0,1,80.42857142857143,88.28571428571429,86.0,1,1
2023-01-03,East US,Storage,85,769,470,97.66,0.98,0,1,80.42857142857143,87.85714285714286,93.0,1,1
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,1,80.42857142857143,82.85714285714286,85.0,1,1
2023-01-03,West US,VM,89,1219,436,97.66,0.98,0,1,77.0952380952381,70.85714285714286,99.0,1,1
2023-01-03,West US,Storage,67,1378,252,97.66,0.98,0,1,77.0952380952381,71.85714285714286,89.0,1,1
2023-01-03,West US,Container,73,716,451,97.66,0.98,0,1,77.0952380952381,70.14285714285714,67.0,1,1
2023-01-03,North Europe,VM,94,1564,356,97.66,0.98,0,1,77.14285714285714,77.57142857142857,96.0,1,1
2023-01-03,North Europe,Storage,64,564,208,97.66,0.98,0,1,77.14285714285714,76.28571428571429,94.0,1,1
2023-01-03,North Europe,Container,73,1652,335,97.66,0.98,0,1,77.14285714285714,79.42857142857143,64.0,1,1
2023-01-03,Southeast Asia,VM,73,1586,338,97.66,0.98,0,1,68.66666666666667,70.42857142857143,53.0,1,1
2023-01-03,Southeast Asia,Storage,66,891,362,97.66,0.98,0,1,68.66666666666667,66.57142857142857,73.0,1,1
2023-01-03,Southeast Asia,Container,84,788,460,97.66,0.98,0,1,68.66666666666667,67.71428571428571,66.0,1,1
2023-01-04,East US,VM,91,730,240,115.79,1.08,0,1,80.42857142857143,85.85714285714286,57.0,1,1
2023-01-04,East US,Storage,77,634,400,115.79,1.08,0,1,80.42857142857143,83.14285714285714,91.0,1,1
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,1,80.42857142857143,78.0,77.0,1,1
2023-01-04,West US,VM,97,1002,261,115.79,1.08,0,1,77.0952380952381,76.57142857142857,73.0,1,1
2023-01-04,West US,Storage,73,1304,298,115.79,1.08,0,1,77.0952380952381,78.71428571428571,97.0,1,1
2023-01-04,West US,Container,93,1225,234,115.79,1.08,0,1,77.0952380952381,84.42857142857143,73.0,1,1
2023-01-04,North Europe,VM,50,1112,330,115.79,1.08,0,1,77.14285714285714,74.85714285714286,73.0,1,1
2023-01-04,North Europe,Storage,50,1528,417,115.79,1.08,0,1,77.14285714285714,74.71428571428571,50.0,1,1
2023-01-04,North Europe,Container,63,1370,482,115.79,1.08,0,1,77.14285714285714,70.0,50.0,1,1
2023-01-04,Southeast Asia,VM,58,706,214,115.79,1.08,0,1,68.66666666666667,65.0,84.0,1,1
2023-01-04,Southeast Asia,Storage,75,1391,378,115.79,1.08,0,1,68.66666666666667,66.28571428571429,58.0,1,1
2023-01-04,Southeast Asia,Container,81,1242,440,115.79,1.08,0,1,68.66666666666667,70.0,75.0,1,1
2023-01-05,East US,VM,81,984,430,95.31,1.05,0,1,80.42857142857143,77.28571428571429,57.0,1,1
2023-01-05,East US,Storage,94,1694,228,95.31,1.05,0,1,80.42857142857143,77.42857142857143,81.0,1,1
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,1,80.42857142857143,77.42857142857143,94.0,1,1
2023-01-05,West US,VM,56,1766,285,95.31,1.05,0,1,77.0952380952381,78.28571428571429,93.0,1,1
2023-01-05,West US,Storage,77,1077,369,95.31,1.05,0,1,77.0952380952381,76.57142857142857,56.0,1,1
2023-01-05,West US,Container,94,1512,333,95.31,1.05,0,1,77.0952380952381,80.42857142857143,77.0,1,1
2023-01-05,North Europe,VM,77,1551,307,95.31,1.05,0,1,77.14285714285714,67.28571428571429,63.0,1,1
2023-01-05,North Europe,Storage,93,1863,485,95.31,1.05,0,1,77.14285714285714,67.14285714285714,77.0,1,1
2023-01-05,North Europe,Container,60,1871,430,95.31,1.05,0,1,77.14285714285714,66.57142857142857,93.0,1,1
2023-01-05,Southeast Asia,VM,82,1908,482,95.31,1.05,0,1,68.66666666666667,74.14285714285714,81.0,1,1
2023-01-05,Southeast Asia,Storage,62,1782,397,95.31,1.05,0,1,68.66666666666667,72.57142857142857,82.0,1,1
2023-01-05,Southeast Asia,Container,57,1934,336,95.31,1.05,0,1,68.66666666666667,71.28571428571429,62.0,1,1
2023-01-06,East US,VM,86,1748,433,95.37,0.95,0,1,80.42857142857143,81.57142857142857,85.0,1,1
2023-01-06,East US,Storage,93,1163,359,95.37,0.95,0,1,80.42857142857143,81.85714285714286,86.0,1,1
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,1,80.42857142857143,82.42857142857143,93.0,1,1
2023-01-06,West US,VM,98,941,251,95.37,0.95,0,1,77.0952380952381,84.0,94.0,1,1
2023-01-06,West US,Storage,61,1909,312,95.37,0.95,0,1,77.0952380952381,78.85714285714286,98.0,1,1
2023-01-06,West US,Container,86,1451,280,95.37,0.95,0,1,77.0952380952381,80.71428571428571,61.0,1,1
2023-01-06,North Europe,VM,98,501,329,95.37,0.95,0,1,77.14285714285714,70.14285714285714,60.0,1,1
2023-01-06,North Europe,Storage,77,1354,423,95.37,0.95,0,1,77.14285714285714,74.0,98.0,1,1
2023-01-06,North Europe,Container,82,884,325,95.37,0.95,0,1,77.14285714285714,78.57142857142857,77.0,1,1
2023-01-06,Southeast Asia,VM,51,1576,371,95.37,0.95,0,1,68.66666666666667,66.57142857142857,57.0,1,1
2023-01-06,Southeast Asia,Storage,75,1939,446,95.37,0.95,0,1,68.66666666666667,69.0,51.0,1,1
2023-01-06,Southeast Asia,Container,53,1962,402,95.37,0.95,0,1,68.66666666666667,65.85714285714286,75.0,1,1
2023-01-07,East US,VM,66,1266,493,102.42,0.81,1,1,80.42857142857143,83.71428571428571,81.0,1,1
2023-01-07,East US,Storage,73,1383,297,102.42,0.81,1,1,80.42857142857143,82.57142857142857,66.0,1,1
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,1,80.42857142857143,77.0,73.0,1,1
2023-01-07,West US,VM,65,1108,400,102.42,0.81,1,1,77.0952380952381,76.71428571428571,86.0,1,1
2023-01-07,West US,Storage,55,963,458,102.42,0.81,1,1,77.0952380952381,76.57142857142857,65.0,1,1
2023-01-07,West US,Container,69,1263,346,102.42,0.81,1,1,77.0952380952381,75.42857142857143,55.0,1,1
2023-01-07,North Europe,VM,69,1363,398,102.42,0.81,1,1,77.14285714285714,79.42857142857143,82.0,1,1
2023-01-07,North Europe,Storage,90,1428,327,102.42,0.81,1,1,77.14285714285714,81.28571428571429,69.0,1,1
2023-01-07,North Europe,Container,88,837,328,102.42,0.81,1,1,77.14285714285714,80.57142857142857,90.0,1,1
2023-01-07,Southeast Asia,VM,60,972,350,102.42,0.81,1,1,68.66666666666667,62.857142857142854,53.0,1,1
2023-01-07,Southeast Asia,Storage,80,1821,298,102.42,0.81,1,1,68.66666666666667,62.57142857142857,60.0,1,1
2023-01-07,Southeast Asia,Container,56,643,311,102.42,0.81,1,1,68.66666666666667,61.714285714285715,80.0,1,1
2023-01-08,East US,VM,98,501,453,82.75,0.94,1,1,80.42857142857143,78.85714285714286,55.0,1,1
2023-01-08,East US,Storage,61,952,236,82.75,0.94,1,1,80.42857142857143,75.28571428571429,98.0,1,1
2023-01-08,East US,Container,81,1514,208,82.75,0.94,1,1,80.42857142857143,73.57142857142857,61.0,1,1
2023-01-08,West US,VM,90,1622,346,82.75,0.94,1,1,77.0952380952381,74.85714285714286,69.0,1,1
2023-01-08,West US,Storage,97,707,330,82.75,0.94,1,1,77.0952380952381,74.71428571428571,90.0,1,1
2023-01-08,West US,Container,69,651,253,82.75,0.94,1,1,77.0952380952381,75.85714285714286,97.0,1,1
2023-01-08,North Europe,VM,82,1127,274,82.75,0.94,1,1,77.14285714285714,83.71428571428571,88.0,1,1
2023-01-08,North Europe,Storage,98,1943,303,82.75,0.94,1,1,77.14285714285714,83.71428571428571,82.0,1,1
2023-01-08,North Europe,Container,69,753,426,82.75,0.94,1,1,77.14285714285714,82.57142857142857,98.0,1,1
2023-01-08,Southeast Asia,VM,97,1009,298,82.75,0.94,1,1,68.66666666666667,67.42857142857143,56.0,1,1
2023-01-08,Southeast Asia,Storage,74,1413,393,82.75,0.94,1,1,68.66666666666667,70.71428571428571,97.0,1,1
2023-01-08,Southeast Asia,Container,84,1456,368,82.75,0.94,1,1,68.66666666666667,72.0,74.0,1,1
2023-01-09,East US,VM,85,660,267,89.87,1.03,0,2,78.04761904761905,74.14285714285714,81.0,1,1
2023-01-09,East US,Storage,82,897,476,89.87,1.03,0,2,78.04761904761905,76.42857142857143,85.0,1,1
2023-01-09,East US,Container,97,1915,334,89.87,1.03,0,2,78.04761904761905,79.85714285714286,82.0,1,1
2023-01-09,West US,VM,52,900,327,89.87,1.03,0,2,70.85714285714286,71.0,69.0,1,1
2023-01-09,West US,Storage,82,1187,221,89.87,1.03,0,2,70.85714285714286,73.42857142857143,52.0,1,1
2023-01-09,West US,Container,95,537,429,89.87,1.03,0,2,70.85714285714286,79.14285714285714,82.0,1,1
2023-01-09,North Europe,VM,94,1062,463,89.87,1.03,0,2,77.28571428571429,84.28571428571429,69.0,1,1
2023-01-09,North Europe,Storage,76,526,425,89.87,1.03,0,2,77.28571428571429,85.28571428571429,94.0,1,1
2023-01-09,North Europe,Container,70,1297,296,89.87,1.03,0,2,77.28571428571429,82.42857142857143,76.0,1,1
2023-01-09,Southeast Asia,VM,77,1378,346,89.87,1.03,0,2,78.66666666666667,75.42857142857143,84.0,1,1
2023-01-09,Southeast Asia,Storage,53,1046,391,89.87,1.03,0,2,78.66666666666667,74.42857142857143,77.0,1,1
2023-01-09,Southeast Asia,Container,98,516,371,89.87,1.03,0,2,78.66666666666667,77.0,53.0,1,1
2023-01-10,East US,VM,77,657,245,90.92,0.86,0,2,78.04761904761905,83.0,97.0,1,1
2023-01-10,East US,Storage,55,598,432,90.92,0.86,0,2,78.04761904761905,76.85714285714286,77.0,1,1
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,2,78.04761904761905,80.42857142857143,55.0,1,1
2023-01-10,West US,VM,80,1622,387,90.92,0.86,0,2,70.85714285714286,80.71428571428571,95.0,1,1
2023-01-10,West US,Storage,82,1639,390,90.92,0.86,0,2,70.85714285714286,79.57142857142857,80.0,1,1
2023-01-10,West US,Container,70,1427,360,90.92,0.86,0,2,70.85714285714286,75.71428571428571,82.0,1,1
2023-01-10,North Europe,VM,52,627,217,90.92,0.86,0,2,77.28571428571429,77.28571428571429,70.0,1,1
2023-01-10,North Europe,Storage,74,1065,257,90.92,0.86,0,2,77.28571428571429,76.14285714285714,52.0,1,1
2023-01-10,North Europe,Container,52,1185,479,90.92,0.86,0,2,77.28571428571429,69.57142857142857,74.0,1,1
2023-01-10,Southeast Asia,VM,99,1811,350,90.92,0.86,0,2,78.66666666666667,83.14285714285714,98.0,1,1
2023-01-10,Southeast Asia,Storage,51,654,472,90.92,0.86,0,2,78.66666666666667,76.57142857142857,99.0,1,1
2023-01-10,Southeast Asia,Container,89,1916,498,90.92,0.86,0,2,78.66666666666667,78.71428571428571,51.0,1,1
2023-01-11,East US,VM,97,1562,369,114.66,0.98,0,2,78.04761904761905,82.71428571428571,86.0,1,1
2023-01-11,East US,Storage,75,1420,212,114.66,0.98,0,2,78.04761904761905,81.28571428571429,97.0,1,1
2023-01-11,East US,Container,56,535,372,114.66,0.98,0,2,78.04761904761905,77.57142857142857,75.0,1,1
2023-01-11,West US,VM,69,820,463,114.66,0.98,0,2,70.85714285714286,75.71428571428571,70.0,1,1
2023-01-11,West US,Storage,95,899,341,114.66,0.98,0,2,70.85714285714286,81.85714285714286,69.0,1,1
2023-01-11,West US,Container,61,970,342,114.66,0.98,0,2,70.85714285714286,78.85714285714286,95.0,1,1
2023-01-11,North Europe,VM,77,1877,487,114.66,0.98,0,2,77.28571428571429,70.71428571428571,52.0,1,1
2023-01-11,North Europe,Storage,72,1353,250,114.66,0.98,0,2,77.28571428571429,67.57142857142857,77.0,1,1
2023-01-11,North Europe,Container,74,1074,389,114.66,0.98,0,2,77.28571428571429,67.28571428571429,72.0,1,1
2023-01-11,Southeast Asia,VM,71,813,257,114.66,0.98,0,2,78.66666666666667,76.85714285714286,89.0,1,1
2023-01-11,Southeast Asia,Storage,71,804,379,114.66,0.98,0,2,78.66666666666667,76.0,71.0,1,1
2023-01-11,Southeast Asia,Container,91,1337,470,114.66,0.98,0,2,78.66666666666667,81.42857142857143,71.0,1,1
2023-01-12,East US,VM,92,943,300,100.68,0.86,0,2,78.04761904761905,76.85714285714286,56.0,1,1
2023-01-12,East US,Storage,82,763,252,100.68,0.86,0,2,78.04761904761905,77.57142857142857,92.0,1,1
2023-01-12,East US,Container,93,504,302,100.68,0.86,0,2,78.04761904761905,83.0,82.0,1,1
2023-01-12,West US,VM,53,1273,246,100.68,0.86,0,2,70.85714285714286,72.85714285714286,61.0,1,1
2023-01-12,West US,Storage,84,1322,343,100.68,0.86,0,2,70.85714285714286,73.42857142857143,53.0,1,1
2023-01-12,West US,Container,62,869,323,100.68,0.86,0,2,70.85714285714286,70.57142857142857,84.0,1,1
2023-01-12,North Europe,VM,91,1156,319,100.68,0.86,0,2,77.28571428571429,70.28571428571429,74.0,1,1
2023-01-12,North Europe,Storage,68,1581,428,100.68,0.86,0,2,77.28571428571429,72.57142857142857,91.0,1,1
2023-01-12,North Europe,Container,75,616,478,100.68,0.86,0,2,77.28571428571429,72.71428571428571,68.0,1,1
2023-01-12,Southeast Asia,VM,58,1512,328,100.68,0.86,0,2,78.66666666666667,75.71428571428571,91.0,1,1
2023-01-12,Southeast Asia,Storage,50,1301,295,100.68,0.86,0,2,78.66666666666667,68.71428571428571,58.0,1,1
2023-01-12,Southeast Asia,Container,97,987,436,100.68,0.86,0,2,78.66666666666667,75.28571428571429,50.0,1,1
2023-01-13,East US,VM,50,1795,388,94.56,1.01,0,2,78.04761904761905,77.85714285714286,93.0,1,1
2023-01-13,East US,Storage,88,1203,268,94.56,1.01,0,2,78.04761904761905,76.57142857142857,50.0,1,1
2023-01-13,East US,Container,71,1360,446,94.56,1.01,0,2,78.04761904761905,76.0,88.0,1,1
2023-01-13,West US,VM,52,1599,353,94.56,1.01,0,2,70.85714285714286,68.0,62.0,1,1
2023-01-13,West US,Storage,65,1958,285,94.56,1.01,0,2,70.85714285714286,67.42857142857143,52.0,1,1
2023-01-13,West US,Container,78,1743,268,94.56,1.01,0,2,70.85714285714286,65.0,65.0,1,1
2023-01-13,North Europe,VM,96,1508,293,94.56,1.01,0,2,77.28571428571429,79.0,75.0,1,1
2023-01-13,North Europe,Storage,95,1457,403,94.56,1.01,0,2,77.28571428571429,81.57142857142857,96.0,1,1
2023-01-13,North Europe,Container,65,717,238,94.56,1.01,0,2,77.28571428571429,80.57142857142857,95.0,1,1
2023-01-13,Southeast Asia,VM,85,1812,453,94.56,1.01,0,2,78.66666666666667,74.71428571428571,97.0,1,1
2023-01-13,Southeast Asia,Storage,79,856,222,94.56,1.01,0,2,78.66666666666667,75.85714285714286,85.0,1,1
2023-01-13,Southeast Asia,Container,59,1623,489,94.56,1.01,0,2,78.66666666666667,74.14285714285714,79.0,1,1
2023-01-14,East US,VM,80,1261,346,88.49,1.04,1,2,78.04761904761905,79.42857142857143,71.0,1,1
2023-01-14,East US,Storage,81,1268,203,88.49,1.04,1,2,78.04761904761905,77.85714285714286,80.0,1,1
2023-01-14,East US,Container,65,1291,446,88.49,1.04,1,2,78.04761904761905,75.42857142857143,81.0,1,1
2023-01-14,West US,VM,51,996,359,88.49,1.04,1,2,70.85714285714286,63.57142857142857,78.0,1,1
2023-01-14,West US,Storage,76,1351,351,88.49,1.04,1,2,70.85714285714286,66.85714285714286,51.0,1,1
2023-01-14,West US,Container,61,1189,362,88.49,1.04,1,2,70.85714285714286,63.57142857142857,76.0,1,1
2023-01-14,North Europe,VM,82,1456,378,88.49,1.04,1,2,77.28571428571429,81.71428571428571,65.0,1,1
2023-01-14,North Europe,Storage,92,1791,264,88.49,1.04,1,2,77.28571428571429,81.85714285714286,82.0,1,1
2023-01-14,North Europe,Container,82,1691,242,88.49,1.04,1,2,77.28571428571429,83.85714285714286,92.0,1,1
2023-01-14,Southeast Asia,VM,93,784,211,88.49,1.04,1,2,78.66666666666667,74.42857142857143,59.0,1,1
2023-01-14,Southeast Asia,Storage,80,1825,452,88.49,1.04,1,2,78.66666666666667,77.57142857142857,93.0,1,1
2023-01-14,Southeast Asia,Container,99,534,414,88.49,1.04,1,2,78.66666666666667,84.57142857142857,80.0,1,1
2023-01-15,East US,VM,66,589,463,93.99,0.97,1,2,78.04761904761905,71.57142857142857,65.0,1,1
2023-01-15,East US,Storage,78,1469,289,93.99,0.97,1,2,78.04761904761905,75.57142857142857,66.0,1,1
2023-01-15,East US,Container,83,614,304,93.99,0.97,1,2,78.04761904761905,74.85714285714286,78.0,1,1
2023-01-15,West US,VM,56,1719,313,93.99,0.97,1,2,70.85714285714286,62.714285714285715,61.0,1,1
2023-01-15,West US,Storage,94,1598,416,93.99,0.97,1,2,70.85714285714286,68.71428571428571,56.0,1,1
2023-01-15,West US,Container,70,1520,448,93.99,0.97,1,2,70.85714285714286,69.42857142857143,94.0,1,1
2023-01-15,North Europe,VM,85,1917,391,93.99,0.97,1,2,77.28571428571429,85.28571428571429,82.0,1,1
2023-01-15,North Europe,Storage,84,1622,235,93.99,0.97,1,2,77.28571428571429,83.57142857142857,85.0,1,1
2023-01-15,North Europe,Container,67,1508,295,93.99,0.97,1,2,77.28571428571429,79.57142857142857,84.0,1,1
2023-01-15,Southeast Asia,VM,73,1162,389,93.99,0.97,1,2,78.66666666666667,81.14285714285714,99.0,1,1
2023-01-15,Southeast Asia,Storage,81,536,467,93.99,0.97,1,2,78.66666666666667,80.57142857142857,73.0,1,1
2023-01-15,Southeast Asia,Container,98,778,416,93.99,0.97,1,2,78.66666666666667,83.28571428571429,81.0,1,1
2023-01-16,East US,VM,84,1372,485,93.98,1.19,0,3,76.61904761904762,76.71428571428571,83.0,1,1
2023-01-16,East US,Storage,66,561,283,93.98,1.19,0,3,76.61904761904762,74.71428571428571,84.0,1,1
2023-01-16,East US,Container,97,1228,386,93.98,1.19,0,3,76.61904761904762,77.0,66.0,1,1
2023-01-16,West US,VM,68,676,299,93.98,1.19,0,3,72.52380952380952,68.0,70.0,1,1
2023-01-16,West US,Storage,61,944,432,93.98,1.19,0,3,72.52380952380952,69.42857142857143,68.0,1,1
2023-01-16,West US,Container,68,575,464,93.98,1.19,0,3,72.52380952380952,68.28571428571429,61.0,1,1
2023-01-16,North Europe,VM,56,1217,422,93.98,1.19,0,3,75.04761904761905,78.28571428571429,67.0,1,1
2023-01-16,North Europe,Storage,68,1890,343,93.98,1.19,0,3,75.04761904761905,76.28571428571429,56.0,1,1
2023-01-16,North Europe,Container,54,1622,224,93.98,1.19,0,3,75.04761904761905,70.85714285714286,68.0,1,1
2023-01-16,Southeast Asia,VM,70,1674,343,93.98,1.19,0,3,74.33333333333333,84.85714285714286,98.0,1,1
2023-01-16,Southeast Asia,Storage,88,608,380,93.98,1.19,0,3,74.33333333333333,84.14285714285714,70.0,1,1
2023-01-16,Southeast Asia,Container,91,1709,422,93.98,1.19,0,3,74.33333333333333,85.71428571428571,88.0,1,1
2023-01-17,East US,VM,54,1686,414,99.87,0.89,0,3,76.61904761904762,75.42857142857143,97.0,1,1
2023-01-17,East US,Storage,78,734,345,99.87,0.89,0,3,76.61904761904762,77.14285714285714,54.0,1,1
2023-01-17,East US,Container,96,1087,208,99.87,0.89,0,3,76.61904761904762,79.71428571428571,78.0,1,1
2023-01-17,West US,VM,59,1453,452,99.87,0.89,0,3,72.52380952380952,68.0,68.0,1,1
2023-01-17,West US,Storage,87,1697,340,99.87,0.89,0,3,72.52380952380952,72.42857142857143,59.0,1,1
2023-01-17,West US,Container,89,669,482,99.87,0.89,0,3,72.52380952380952,71.71428571428571,87.0,1,1
2023-01-17,North Europe,VM,51,528,364,99.87,0.89,0,3,75.04761904761905,66.42857142857143,54.0,1,1
2023-01-17,North Europe,Storage,87,838,335,99.87,0.89,0,3,75.04761904761905,66.71428571428571,51.0,1,1
2023-01-17,North Europe,Container,97,1888,344,99.87,0.89,0,3,75.04761904761905,68.57142857142857,87.0,1,1
2023-01-17,Southeast Asia,VM,56,716,331,99.87,0.89,0,3,74.33333333333333,79.57142857142857,91.0,1,1
2023-01-17,Southeast Asia,Storage,85,1593,451,99.87,0.89,0,3,74.33333333333333,81.28571428571429,56.0,1,1
2023-01-17,Southeast Asia,Container,80,944,381,99.87,0.89,0,3,74.33333333333333,81.14285714285714,85.0,1,1
2023-01-18,East US,VM,88,590,401,108.23,0.88,0,3,76.61904761904762,80.42857142857143,96.0,1,1
2023-01-18,East US,Storage,75,538,325,108.23,0.88,0,3,76.61904761904762,79.14285714285714,88.0,1,1
2023-01-18,East US,Container,52,672,340,108.23,0.88,0,3,76.61904761904762,77.14285714285714,75.0,1,1
2023-01-18,West US,VM,99,1743,325,108.23,0.88,0,3,72.52380952380952,75.85714285714286,89.0,1,1
2023-01-18,West US,Storage,69,975,200,108.23,0.88,0,3,72.52380952380952,76.0,99.0,1,1
2023-01-18,West US,Container,52,847,389,108.23,0.88,0,3,72.52380952380952,74.71428571428571,69.0,1,1
2023-01-18,North Europe,VM,98,1932,316,108.23,0.88,0,3,75.04761904761905,73.0,97.0,1,1
2023-01-18,North Europe,Storage,55,557,243,108.23,0.88,0,3,75.04761904761905,72.85714285714286,98.0,1,1
2023-01-18,North Europe,Container,94,1171,372,108.23,0.88,0,3,75.04761904761905,76.57142857142857,55.0,1,1
2023-01-18,Southeast Asia,VM,96,1672,279,108.23,0.88,0,3,74.33333333333333,80.85714285714286,80.0,1,1
2023-01-18,Southeast Asia,Storage,70,702,451,108.23,0.88,0,3,74.33333333333333,80.85714285714286,96.0,1,1
2023-01-18,Southeast Asia,Container,86,1750,346,108.23,0.88,0,3,74.33333333333333,80.57142857142857,70.0,1,1
2023-01-19,East US,VM,69,1964,246,102.09,0.8,0,3,76.61904761904762,73.14285714285714,52.0,1,1
2023-01-19,East US,Storage,90,1828,213,102.09,0.8,0,3,76.61904761904762,78.28571428571429,69.0,1,1
2023-01-19,East US,Container,64,1938,200,102.09,0.8,0,3,76.61904761904762,76.28571428571429,90.0,1,1
2023-01-19,West US,VM,52,1155,211,102.09,0.8,0,3,72.52380952380952,72.42857142857143,52.0,1,1
2023-01-19,West US,Storage,59,1235,471,102.09,0.8,0,3,72.52380952380952,72.42857142857143,52.0,1,1
2023-01-19,West US,Container,57,857,355,102.09,0.8,0,3,72.52380952380952,68.14285714285714,59.0,1,1
2023-01-19,North Europe,VM,57,1645,363,102.09,0.8,0,3,75.04761904761905,77.0,94.0,1,1
2023-01-19,North Europe,Storage,75,1197,377,102.09,0.8,0,3,75.04761904761905,80.42857142857143,57.0,1,1
2023-01-19,North Europe,Container,77,1231,240,102.09,0.8,0,3,75.04761904761905,79.0,75.0,1,1
2023-01-19,Southeast Asia,VM,85,1001,344,102.09,0.8,0,3,74.33333333333333,79.71428571428571,86.0,1,1
2023-01-19,Southeast Asia,Storage,58,1428,411,102.09,0.8,0,3,74.33333333333333,80.0,85.0,1,1
2023-01-19,Southeast Asia,Container,62,1231,439,102.09,0.8,0,3,74.33333333333333,76.71428571428571,58.0,1,1
2023-01-20,East US,VM,78,1408,245,86.72,1.02,0,3,76.61904761904762,73.71428571428571,64.0,1,1
2023-01-20,East US,Storage,84,1776,281,86.72,1.02,0,3,76.61904761904762,73.14285714285714,78.0,1,1
2023-01-20,East US,Container,54,949,209,86.72,1.02,0,3,76.61904761904762,70.14285714285714,84.0,1,1
2023-01-20,West US,VM,79,1765,450,86.72,1.02,0,3,72.52380952380952,66.71428571428571,57.0,1,1
2023-01-20,West US,Storage,94,1528,318,86.72,1.02,0,3,72.52380952380952,66.0,79.0,1,1
2023-01-20,West US,Container,82,873,264,86.72,1.02,0,3,72.52380952380952,67.85714285714286,94.0,1,1
2023-01-20,North Europe,VM,67,723,438,86.72,1.02,0,3,75.04761904761905,74.71428571428571,77.0,1,1
2023-01-20,North Europe,Storage,98,1352,481,86.72,1.02,0,3,75.04761904761905,74.71428571428571,67.0,1,1
2023-01-20,North Europe,Container,74,1326,482,86.72,1.02,0,3,75.04761904761905,77.42857142857143,98.0,1,1
2023-01-20,Southeast Asia,VM,98,1984,297,86.72,1.02,0,3,74.33333333333333,79.28571428571429,62.0,1,1
2023-01-20,Southeast Asia,Storage,90,1622,205,86.72,1.02,0,3,74.33333333333333,78.42857142857143,98.0,1,1
2023-01-20,Southeast Asia,Container,77,1208,332,86.72,1.02,0,3,74.33333333333333,79.42857142857143,90.0,1,1
2023-01-21,East US,VM,87,1270,222,107.38,1.02,1,3,76.61904761904762,75.14285714285714,54.0,1,1
2023-01-21,East US,Storage,86,1176,401,107.38,1.02,1,3,76.61904761904762,77.57142857142857,87.0,1,1
2023-01-21,East US,Container,59,582,344,107.38,1.02,1,3,76.61904761904762,73.14285714285714,86.0,1,1
